fishbase_id,Order,Family,Species,Occurrence,FishBase name,Name,Link,image_counts,image_page_link
11880,Myctophiformes,Myctophidae,Diaphus bertelseni,native,Bertelsen's lanternfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=11880,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=11880
7434,Myctophiformes,Myctophidae,Diaphus brachycephalus,native,Short-headed lantern fish,Short-headed lantern fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7434,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7434
7435,Myctophiformes,Myctophidae,Diaphus chrysorhynchus,native,Golden-nosed lantern fish,Golden-nosed lantern fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7435,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7435
7437,Myctophiformes,Myctophidae,Diaphus fragilis,native,Fragile lantern fish,Fragile lantern fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7437,12,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7437
16732,Myctophiformes,Myctophidae,Diaphus fulgens,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=16732,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=16732
10265,Myctophiformes,Myctophidae,Diaphus garmani,native,Garman's lanternfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=10265,14,https://www.fishbase.se/photos/thumbnailssummary.php?ID=10265
23009,Myctophiformes,Myctophidae,Diaphus kuroshio,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=23009,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=23009
7438,Myctophiformes,Myctophidae,Diaphus metopoclampus,native,Spothead lantern fish,Spot-headed lantern fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7438,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7438
12413,Myctophiformes,Myctophidae,Diaphus mollis,native,Soft lanternfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=12413,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=12413
46966,Myctophiformes,Myctophidae,Diaphus pacificus,native,Pacific headlightfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=46966,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=46966
7436,Myctophiformes,Myctophidae,Diaphus perspicillatus,native,Transparent lantern fish,Transparent lantern fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7436,10,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7436
7439,Myctophiformes,Myctophidae,Diaphus phillipsi,native,Bolin's lantern fish,Bolin's lantern fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7439,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7439
7408,Myctophiformes,Myctophidae,Diaphus schmidti,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7408,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7408
2732,Myctophiformes,Myctophidae,Diaphus theta,native,California headlightfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=2732,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=2732
60292,Myctophiformes,Myctophidae,Diaphus trachops,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=60292,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=60292
59143,Myctophiformes,Myctophidae,Diaphus wisneri,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=59143,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=59143
10180,Lophiiformes,Diceratiidae,Diceratias pileatus,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=10180,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=10180
56342,Ophidiiformes,Ophidiidae,Dicrolene hubrechti,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=56342,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=56342
14490,Tetraodontiformes,Diodontidae,Diodon eydouxii,native,Pelagic porcupinefish,Pelagic porcupinefish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=14490,29,https://www.fishbase.se/photos/thumbnailssummary.php?ID=14490
4659,Tetraodontiformes,Diodontidae,Diodon holocanthus,native,Longspined porcupinefish,O'opu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=4659,114,https://www.fishbase.se/photos/thumbnailssummary.php?ID=4659
1022,Tetraodontiformes,Diodontidae,Diodon hystrix,native,Spot-fin porcupinefish,Kōkala,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1022,135,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1022
7409,Myctophiformes,Myctophidae,Diogenichthys atlanticus,native,Longfin lanternfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7409,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7409
2733,Myctophiformes,Myctophidae,Diogenichthys laternatus,native,Diogenes lanternfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=2733,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=2733
10155,Stomiiformes,Gonostomatidae,Diplophos taenia,native,Pacific portholefish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=10155,12,https://www.fishbase.se/photos/thumbnailssummary.php?ID=10155
8460,Scombriformes,Gempylidae,Diplospinus multistriatus,native,Striped escolar,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=8460,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=8460
9057,Trachichthyiformes,Diretmidae,Diretmichthys parini,native,Parin's spinyfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=9057,27,https://www.fishbase.se/photos/thumbnailssummary.php?ID=9057
7212,Gobiiformes,Gobiidae,Discordipinna griessingeri,native,Spikefin goby,Spikefin goby,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7212,10,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7212
9042,Beryciformes,Cetomimidae,Ditropichthys storeri,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=9042,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=9042
9168,Argentiniformes,Bathylagidae,Dolicholagus longirostris,native,Longsnout blacksmelt,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=9168,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=9168
16912,Lophiiformes,Oneirodidae,Dolopichthys longicornis,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=16912,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=16912
16921,Lophiiformes,Oneirodidae,Dolopichthys pullatus,native,Lobed dreamer,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=16921,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=16921
1606,Clupeiformes,Clupeidae,Dorosoma petenense,introduced,Threadfin shad,Threadfin shad,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1606,9,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1606
5969,Syngnathiformes,Syngnathidae,Doryrhamphus excisus,native,Bluestripe pipefish,Bluestripe pipefish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5969,30,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5969
24195,Callionymiformes,Draconettidae,Draconetta xenica,native,Highfin slope dragonet,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=24195,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=24195
58170,Callionymiformes,Callionymidae,Draculo pogognathus,native,Hawaiian wonder dragonet,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=58170,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=58170
12771,Syngnathiformes,Syngnathidae,Dunckerocampus baldwini,endemic,Redstripe pipefish,Redstripe pipefish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=12771,7,https://www.fishbase.se/photos/thumbnailssummary.php?ID=12771
16915,Scombriformes,Chiasmodontidae,Dysalotus alcocki,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=16915,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=16915
9101,Anguilliformes,Synaphobranchidae,Dysomma brevirostre,native,Pignosed arrowtooth eel,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=9101,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=9101
58297,Anguilliformes,Synaphobranchidae,Dysomma muciparus,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=58297,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=58297
27787,Anguilliformes,Synaphobranchidae,Dysommina rugosa,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=27787,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=27787
2467,Carangiformes,Echeneidae,Echeneis naucrates,native,Live sharksucker,Leleiona,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=2467,109,https://www.fishbase.se/photos/thumbnailssummary.php?ID=2467
6486,Anguilliformes,Muraenidae,Echidna leucotaenia,native,Whiteface moray,White-banded moray eel,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6486,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6486
5388,Anguilliformes,Muraenidae,Echidna nebulosa,native,Starry moray,Pūhi-kāpā,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5388,79,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5388
5389,Anguilliformes,Muraenidae,Echidna polyzona,native,Barred moray,Dark-banded eel,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5389,33,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5389
6487,Anguilliformes,Muraenidae,Echidna unicolor,native,Unicolor moray,Unicolor moray,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6487,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6487
642,Echinorhiniformes,Echinorhinidae,Echinorhinus cookei,native,Prickly shark,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=642,13,https://www.fishbase.se/photos/thumbnailssummary.php?ID=642
10214,Stomiiformes,Stomiidae,Echiostoma barbatum,native,Threadfin dragonfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=10214,7,https://www.fishbase.se/photos/thumbnailssummary.php?ID=10214
6033,Blenniiformes,Blenniidae,Ecsenius bicolor,native,Bicolor blenny,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6033,55,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6033
5101,Perciformes/Scorpaenoidei,Setarchidae,Ectreposebastes imus,native,Midwater scorpionfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5101,11,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5101
412,Carangiformes,Carangidae,Elagatis bipinnulata,native,Rainbow runner,Kamanu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=412,132,https://www.fishbase.se/photos/thumbnailssummary.php?ID=412
1714,Myctophiformes,Myctophidae,Electrona risso,native,Electric lantern fish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1714,15,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1714
6335,Gobiiformes,Eleotridae,Eleotris sandwicensis,native,Sandwich Island sleeper,'O'opu akupa,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6335,9,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6335
6415,Elopiformes,Elopidae,Elops hawaiensis,native,Hawaiian ladyfish,Awa'aua,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6415,10,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6415
5512,Elopiformes,Elopidae,Elops machnata,native,Tenpounder,Awa-awa,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5512,36,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5512
51668,Eupercaria/misc,Emmelichthyidae,Emmelichthys karnellai,native,Karnella's rover,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=51668,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=51668
8213,Eupercaria/misc,Emmelichthyidae,Emmelichthys struhsakeri,native,Golden redbait,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=8213,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=8213
9204,Ophidiiformes,Carapidae,Encheliophis gracilis,native,Graceful pearlfish,Graceful pearlfish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=9204,16,https://www.fishbase.se/photos/thumbnailssummary.php?ID=9204
7451,Anguilliformes,Muraenidae,Enchelycore pardalis,native,Leopard moray eel,Puhi kauhila,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7451,10,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7451
6491,Anguilliformes,Muraenidae,Enchelynassa canina,native,Longfang moray,Puhi kauila,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6491,4,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6491
59664,Blenniiformes,Blenniidae,Enchelyurus brunneolus,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=59664,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=59664
558,Clupeiformes,Engraulidae,Encrasicholina punctifer,native,Buccaneer anchovy,Nebu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=558,8,https://www.fishbase.se/photos/thumbnailssummary.php?ID=558
559,Clupeiformes,Engraulidae,Encrasicholina purpurea,endemic,Nehu,Nehu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=559,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=559
54889,Pleuronectiformes,Bothidae,Engyprosopon arenicola,native,Fringelip dwarf flounder,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=54889,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=54889
58965,Pleuronectiformes,Bothidae,Engyprosopon hawaiiensis,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=58965,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=58965
59555,Pleuronectiformes,Bothidae,Engyprosopon xenandrus,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=59555,6,https://www.fishbase.se/photos/thumbnailssummary.php?ID=59555
